Word1,Word2,Human_Score,Model_Score
problem,airport,1.3125,-0.010725231
problem,challenge,6.875,0.042508587
production,crew,3.1875,-0.052099288
professor,doctor,6.125,-0.0035392144
profit,loss,3.875,0.042571384
profit,warning,1.6875,0.03848301
psychology,anxiety,3.75,-0.03567713
psychology,depression,5.25,0.019419046
psychology,discipline,3.3125,0.0421188
psychology,doctor,5.294,0.07980651
psychology,fear,3.1875,0.011697125
psychology,health,4.3625,0.011711543
psychology,mind,5.4375,0.062445596
psychology,science,5.9505,0.12683062
reason,criterion,4.625,0.1242572
record,number,3.5,0.047792636
registration,arrangement,3.4375,0.06405808
report,gain,2.25,0.08195474
rock,jazz,5.5,0.04057915
school,center,3.875,0.003809686
secretary,senate,3.75,0.10893046
seven,series,2.25,0.13118042
shower,flood,3.5625,0.10071271
situation,conclusion,3.5625,0.026502004
situation,isolation,1.9375,0.21701565
size,prominence,3.75,-0.0021648745
skin,eye,2.75,0.06636282
smart,student,3.625,-0.090089545
smart,stupid,3.25,0.10035445
soap,opera,3.5625,-0.08072272
space,chemistry,1.8875,0.03347967
space,world,4.9375,-0.03763919
start,match,2.5,0.0063636717
start,year,1.625,0.07201964
stock,egg,1.4375,0.05944436
stock,jaguar,0.9375,0.11086634
stock,life,1.8125,0.07688328
stock,live,1.875,-0.049565595
stock,market,4.875,0.12952937
stock,phone,0.75,0.032104295
street,avenue,7.6875,0.099691406
street,block,6.5625,0.16914855
street,children,1.294,0.06274837
street,place,4.5,0.08881347
stroke,hospital,3.625,0.02349067
student,professor,4.9375,0.11071459
sugar,approach,0.9375,-0.07028442
summer,drought,3.3125,-0.0257435
summer,nature,4.0,-0.18492979
telephone,communication,6.6875,0.03842537
television,film,5.75,-0.026513347
television,radio,4.625,0.037523415
tennis,racket,5.0,0.052518684
territory,kilometer,2.1875,-0.031961318
territory,surface,3.594,0.07089705
theater,history,1.9375,0.05849121
tiger,animal,6.9375,0.023176014
tiger,cat,6.75,0.09842697
tiger,jaguar,5.75,0.04567777
tiger,organism,3.0625,0.12089024
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.061149083
train,car,3.5,0.04168263
travel,activity,4.1875,-0.00044345466
treatment,recovery,5.3125,0.08202801
type,kind,8.4375,0.11004901
victim,emergency,2.6875,0.07246764
war,troops,6.375,-0.013854354
weapon,secret,2.5,-0.015530513
weather,forecast,5.4375,0.022407297
wood,forest,7.9375,0.106150016
word,similarity,0.8125,0.061995268
