Word1,Word2,Human_Score,Model_Score
energy,laboratory,2.7565,0.20239598
energy,secretary,1.0625,0.11816988
equipment,maker,2.5625,0.43531895
experience,music,2.3125,0.28386793
family,planning,1.75,0.19888979
fertility,egg,5.1875,0.19398664
five,month,1.069,0.16804299
focus,life,2.3125,0.05879456
food,fruit,7.0625,0.22925968
food,preparation,3.75,0.21707584
football,basketball,4.125,0.5270854
football,tennis,3.6875,0.48657224
forest,graveyard,1.394,0.20194754
furnace,stove,8.0625,0.2740063
game,defeat,3.6875,0.16973743
game,round,5.1875,0.23724799
game,series,4.5625,0.29280573
game,team,4.625,0.29421425
game,victory,4.6875,0.37012455
glass,metal,2.1875,0.3760475
government,crisis,3.625,0.07460955
governor,interview,1.625,0.10747472
governor,office,4.3125,0.21160458
grocery,money,3.375,0.11543953
holy,sex,1.069,0.21306558
hotel,reservation,5.0625,0.20428538
hundred,percent,4.4375,0.32178828
image,surface,1.8125,0.18554875
investigation,effort,3.75,0.12167052
jaguar,car,5.3125,0.4325128
jaguar,cat,6.4375,0.2898805
journal,association,2.625,0.30267373
journey,car,4.0625,0.29901475
journey,voyage,7.5,0.32322997
king,queen,5.6875,0.30544442
lad,brother,4.9375,0.11424155
law,lawyer,6.1875,0.3425862
lawyer,evidence,3.9375,-0.038747024
liability,insurance,4.375,0.3685871
life,death,4.375,0.38043344
life,lesson,3.1875,0.10046966
life,term,3.8125,-0.0048563457
line,insurance,1.3125,0.0067011304
liquid,water,7.0625,0.40248775
listing,category,5.375,-0.014605378
listing,proximity,1.4375,0.05868637
love,sex,6.375,0.20507865
lover,quarrel,1.6875,0.032338865
luxury,car,3.3125,0.09214243
man,governor,4.25,0.26330802
man,woman,4.5,0.5044657
media,gain,1.375,0.116148606
media,radio,6.4375,0.26716557
media,trading,1.8125,0.090826675
midday,noon,8.9375,0.12179356
mile,kilometer,6.9375,0.19436309
minister,party,3.0625,0.18846326
ministry,culture,2.844,0.21622086
minority,peace,1.1875,0.09845631
money,bank,6.0,0.2278294
money,cash,8.875,0.26092383
money,cash,9.0315,0.26092383
money,currency,7.9375,0.19150117
money,deposit,5.375,0.11878255
money,dollar,7.6875,0.26607105
money,laundering,4.4565,-0.02667261
money,operation,1.875,0.20597358
money,possession,4.3125,0.06922667
money,property,5.0625,0.32637
money,wealth,7.0625,0.072737
money,withdrawal,4.0625,0.0731602
monk,slave,2.5625,0.071998104
month,hotel,1.0625,0.14208356
morality,importance,2.5,0.15552801
morality,marriage,2.375,0.051733103
movie,critic,3.1875,0.14840275
movie,star,4.3125,0.28541037
movie,theater,6.125,0.26186413
museum,theater,3.875,0.26782578
music,project,3.1875,0.2416692
nature,environment,6.9375,0.38759044
nature,man,2.9375,0.20471863
network,hardware,3.8125,0.06602819
news,report,6.8125,0.31756374
noon,string,0.6875,-0.00047300893
observation,architecture,1.875,0.16458468
oil,stock,2.9375,0.2667035
opera,industry,1.194,0.083374865
opera,performance,4.875,0.37858173
peace,atmosphere,2.1875,0.12625702
peace,insurance,1.7565,0.02854206
peace,plan,1.5,0.2468133
phone,equipment,4.0315,-0.031162906
physics,chemistry,5.0625,0.43359104
plane,car,3.5625,0.19869624
planet,moon,6.0,0.2207711
planet,people,3.375,0.11162775
planet,space,5.3125,0.2520532
planet,star,5.625,0.14521107
planet,sun,5.8125,0.23681328
population,development,3.4755,0.19001587
possibility,girl,1.069,0.025728771
practice,institution,3.5625,0.14149821
precedent,collection,1.0625,0.18420722
precedent,example,5.4375,0.29250586
precedent,group,1.5625,0.16974247
precedent,information,2.375,0.2162989
precedent,law,4.375,0.12955572
prejudice,recognition,3.3125,0.11209476
preservation,world,2.4375,0.022649707
president,medal,1.25,0.18908077
problem,airport,1.3125,0.01777837
problem,challenge,6.875,0.2206745
production,crew,3.1875,0.02993176
professor,doctor,6.125,0.13168435
profit,loss,3.875,0.30714634
profit,warning,1.6875,-0.09123
psychology,anxiety,3.75,0.20457105
psychology,depression,5.25,0.20286247
psychology,discipline,3.3125,0.2570323
psychology,doctor,5.294,0.109826855
psychology,fear,3.1875,0.061494205
psychology,health,4.3625,0.14930984
psychology,mind,5.4375,0.10228527
psychology,science,5.9505,0.35307118
reason,criterion,4.625,0.019418672
record,number,3.5,0.09862423
registration,arrangement,3.4375,-0.0005824176
report,gain,2.25,0.13156529
rock,jazz,5.5,0.015106973
school,center,3.875,0.16414343
secretary,senate,3.75,0.34415588
seven,series,2.25,0.16787992
shower,flood,3.5625,-0.15263255
situation,conclusion,3.5625,0.12326466
situation,isolation,1.9375,0.27607828
size,prominence,3.75,0.13125312
skin,eye,2.75,0.13855624
smart,student,3.625,-0.04590524
smart,stupid,3.25,0.23137175
soap,opera,3.5625,0.11497323
space,chemistry,1.8875,0.18259855
space,world,4.9375,0.13445197
start,match,2.5,-0.02615757
start,year,1.625,0.23124394
stock,egg,1.4375,0.057453077
stock,jaguar,0.9375,0.06784801
stock,life,1.8125,-0.07196699
stock,live,1.875,-0.09913146
stock,market,4.875,0.46690142
stock,phone,0.75,-0.034118738
street,avenue,7.6875,0.49934256
street,block,6.5625,0.46617475
street,children,1.294,0.09137541
street,place,4.5,0.13308254
stroke,hospital,3.625,0.095013626
student,professor,4.9375,0.2432666
sugar,approach,0.9375,0.027174888
summer,drought,3.3125,0.24644634
summer,nature,4.0,-0.10341026
telephone,communication,6.6875,0.08241169
television,film,5.75,0.1949704
television,radio,4.625,0.3624344
tennis,racket,5.0,0.0948944
territory,kilometer,2.1875,-0.04493638
territory,surface,3.594,0.09028454
theater,history,1.9375,0.18461041
tiger,animal,6.9375,0.12924096
tiger,cat,6.75,0.23110327
tiger,jaguar,5.75,0.06493361
tiger,organism,3.0625,0.08629119
tiger,tiger,10.0,0.99999994
tiger,zoo,4.9375,0.32455796
train,car,3.5,0.39453232
travel,activity,4.1875,0.06712253
treatment,recovery,5.3125,0.25940335
type,kind,8.4375,0.28265515
victim,emergency,2.6875,0.115442455
war,troops,6.375,0.2197918
weapon,secret,2.5,0.19571918
weather,forecast,5.4375,-0.023824828
wood,forest,7.9375,0.16136177
word,similarity,0.8125,0.10541708
